Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,196553009,2521.675429,3999924,51.31699646,623707,4200412,53.88915583,63159,0.81029794,10353
United States of America,Americas,34564448,10442.35,471734,142.52,90660,607095,183.41,2155,0.65,409
India,South-East Asia,31572344,2287.84,279282,20.24,44230,423217,30.67,3747,0.27,555
Brazil,Americas,19797086,9313.67,323132,152.02,48013,553179,260.25,7575,3.56,1344
Russian Federation,Europe,6242066,4277.31,163544,112.07,23564,157771,108.11,5475,3.75,794
France,Europe,5953274,9153.34,139817,214.97,25080,110746,170.28,180,0.28,26
The United Kingdom,Europe,5801565,8546.04,199240,293.49,30633,129515,190.78,535,0.79,85
Turkey,Europe,5682630,6737.84,118727,140.77,22161,51184,60.69,423,0.5,60
Argentina,Americas,4891810,10823.6,92959,205.68,15883,104822,231.93,2004,4.43,470
Colombia,Americas,4757139,9349.19,77145,151.61,9364,119801,235.44,2319,4.56,319
Spain,Europe,4422291,9343.01,148549,313.84,13696,81442,172.06,189,0.4,11
Italy,Europe,4336906,7271.63,34513,57.87,6167,128029,214.66,109,0.18,19
Iran (Islamic Republic of),Eastern Mediterranean,3826447,4555.68,202607,241.22,34433,90074,107.24,2011,2.39,292
Germany,Europe,3766765,4529.17,14173,17.04,2454,91637,110.18,145,0.17,30
Indonesia,South-East Asia,3372374,1232.94,289964,106.01,41168,92311,33.75,11713,4.28,1759
Poland,Europe,2882786,7594.65,838,2.21,156,75259,198.27,24,0.06,2
Mexico,Americas,2790874,2164.6,97379,75.53,19028,239616,185.85,2409,1.87,537
South Africa,Africa,2422151,4083.97,79821,134.59,13626,71431,120.44,2806,4.73,523
Ukraine,Europe,2251869,5149.04,4450,10.18,962,52930,121.03,119,0.27,14
Peru,Americas,2107873,6392.95,10062,30.52,1502,196138,594.86,709,2.15,80
Netherlands,Europe,1859199,10680.4,32100,184.4,4506,17815,102.34,26,0.15,3
Czechia,Europe,1673429,15648.39,1289,12.05,210,30363,283.93,16,0.15,0
Chile,Americas,1613288,8439.38,8575,44.86,1371,35295,184.63,503,2.63,119
Iraq,Eastern Mediterranean,1603787,3987.29,76844,191.05,13259,18533,46.08,432,1.07,49
Philippines,Western Pacific,1572287,1434.82,42035,38.36,5734,27577,25.17,686,0.63,176
Canada,Americas,1428683,3785.38,3968,10.51,766,26570,70.4,58,0.15,10
Bangladesh,South-East Asia,1240115,753,93551,56.8,13862,20467,12.43,1616,0.98,212
Belgium,Europe,1122951,9745.77,8162,70.84,1,25235,219.01,14,0.12,2
Sweden,Europe,1099414,10645.41,3072,29.75,663,14656,141.91,1,0.01,0
Romania,Europe,1083033,5603.2,976,5.05,153,34278,177.34,10,0.05,3
Malaysia,Western Pacific,1078646,3332.65,113728,351.38,17170,8725,26.96,1151,3.56,174
Pakistan,Eastern Mediterranean,1020324,461.91,21715,9.83,4497,23209,10.51,281,0.13,76
Portugal,Europe,963446,9357.56,20202,196.21,3009,17330,168.32,82,0.8,10
Japan,Western Pacific,902718,713.74,44919,35.52,10425,15173,12,67,0.05,13
Israel,Europe,870781,10060.39,12130,140.14,1013,6467,74.72,14,0.16,0
Hungary,Europe,809491,8285.88,390,3.99,64,30026,307.34,6,0.06,1
Jordan,Eastern Mediterranean,768382,7530.84,5276,51.71,0,10000,98.01,71,0.7,0
Serbia,Europe,721267,10412.84,1805,26.06,292,7110,102.65,15,0.22,2
Switzerland,Europe,713679,8246.22,3946,45.59,9,10357,119.67,8,0.09,0
Nepal,South-East Asia,693109,2378.81,16401,56.29,2467,9834,33.75,155,0.53,27
United Arab Emirates,Eastern Mediterranean,677801,6853.12,10721,108.4,1550,1939,19.6,29,0.29,5
Austria,Europe,653591,7342.84,2815,31.63,495,10535,118.36,12,0.13,1
Kazakhstan,Europe,617387,3288.05,35374,188.39,0,9077,48.34,539,2.87,0
Morocco,Eastern Mediterranean,597876,1619.8,30118,81.6,0,9665,26.18,148,0.4,0
Tunisia,Eastern Mediterranean,582638,4929.83,24332,205.88,3676,19336,163.61,1284,10.86,309
Thailand,South-East Asia,578375,828.62,110668,158.55,17345,4679,6.7,868,1.24,117
Lebanon,Eastern Mediterranean,558369,8180.7,5498,80.55,0,7897,115.7,8,0.12,0
Saudi Arabia,Eastern Mediterranean,523397,1503.42,8951,25.71,1289,8212,23.59,82,0.24,12
Greece,Europe,487709,4550.13,18667,174.16,2694,12935,120.68,60,0.56,9
Ecuador,Americas,483733,2741.78,3949,22.38,0,31454,178.28,677,3.84,0
Bolivia (Plurinational State of),Americas,470929,4034.34,5578,47.79,905,17754,152.09,208,1.78,38
Paraguay,Americas,451158,6325.35,4012,56.25,664,14820,207.78,374,5.24,61
Belarus,Europe,443864,4697.31,6200,65.61,1033,3435,36.35,70,0.74,11
Panama,Americas,432523,10024.25,6924,160.47,969,6791,157.39,68,1.58,10
Bulgaria,Europe,424526,6106.99,1086,15.62,231,18208,261.93,19,0.27,3
Georgia,Europe,416338,10436.69,18257,457.66,2712,5793,145.22,137,3.43,25
Costa Rica,Americas,403511,7921.12,7844,153.98,1467,4997,98.09,72,1.41,10
Kuwait,Eastern Mediterranean,395479,9260.56,5611,131.39,0,2303,53.93,39,0.91,0
Slovakia,Europe,392581,7192.93,322,5.9,44,12536,229.69,2,0.04,0
Uruguay,Americas,380976,10967.35,1363,39.24,183,5950,171.29,45,1.3,9
Cuba,Americas,366985,3240.02,58386,515.48,8607,2628,23.2,491,4.33,68
Croatia,Europe,363397,8954.71,1092,26.91,170,8254,203.39,9,0.22,4
Guatemala,Americas,358798,2002.72,14577,81.36,0,10224,57.07,195,1.09,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,345328,6769.26,578,11.33,0,3869,75.84,8,0.16,0
Azerbaijan,Europe,342548,3378.46,3274,32.29,615,5019,49.5,20,0.2,5
Dominican Republic,Americas,341179,3145.11,2277,20.99,365,3956,36.47,25,0.23,3
Denmark,Europe,314983,5409.51,5563,95.54,848,2548,43.76,6,0.1,1
Sri Lanka,South-East Asia,304202,1420.63,11089,51.79,0,4267,19.93,322,1.5,0
Venezuela (Bolivarian Republic of),Americas,302988,1065.51,7242,25.47,1009,3542,12.46,116,0.41,18
Ireland,Europe,298048,6003.66,8909,179.46,1361,5035,101.42,9,0.18,0
Oman,Eastern Mediterranean,295857,5793.59,6815,133.45,322,3814,74.69,316,6.19,12
Myanmar,South-East Asia,294460,541.19,35590,65.41,5127,8942,16.43,2483,4.56,390
Honduras,Americas,292969,2957.91,8782,88.67,1282,7758,78.33,223,2.25,45
Egypt,Eastern Mediterranean,284128,277.65,222,0.22,0,16507,16.13,37,0.04,0
Lithuania,Europe,282416,10107.62,1875,67.11,377,4413,157.94,4,0.14,0
Ethiopia,Africa,279629,243.23,1524,1.33,476,4381,3.81,18,0.02,5
Bahrain,Eastern Mediterranean,268846,15799.83,621,36.5,0,1383,81.28,2,0.12,0
Republic of Moldova,Europe,259202,6425.49,837,20.75,184,6253,155.01,17,0.42,3
Slovenia,Europe,259079,12361.46,552,26.34,116,4761,227.16,0,0,0
Libya,Eastern Mediterranean,246200,3583.02,18767,273.12,2730,3469,50.49,147,2.14,16
Armenia,Europe,229867,7757.3,1485,50.11,264,4608,155.51,29,0.98,4
Qatar,Eastern Mediterranean,225905,7841.06,1071,37.17,158,601,20.86,1,0.03,0
Bosnia and Herzegovina,Europe,205610,6267.04,226,6.89,44,9686,295.23,13,0.4,0
